Transkripsyon sa Audio
Teacher/Speaker 1: "...siya type of form. Direkta na, dili na kinahanglan mo-log in. Unsaon man pagsabmit?"
Student/Speaker 2: "Ah, asa pod dapit ang unsaon pag-fill up, fill up ana sa kuan?"
Teacher/Speaker 1: "Oo, sa kuan, pareho ra na niana sa submission form. So, ang makuha ra siguro kay ang imong pangalan, kinsay nagsabmit, ang pangalan, pero kadto nga document..."
Student/Speaker 2: "Ang ID number niana, sir, is..."
Teacher/Speaker 1: "Naa na, makita na, naa na na sa akong class record, ang imong Gmail."
Student/Speaker 2: "Ah, ang email. So direkta na diay nga form, sir? Direkta na?"
Teacher/Speaker 1: "Direkta na na, diretso na. Pwede ra kaayo na, dili na siya mag-log in diha. Kay dili lang ko ganahan mag-manage pa og lain na pod nga platform ba. Ah, sige sir."
Teacher/Speaker 1: "So, inig-sabmit niana, pwede ra nako makita ninyo, pero eventually, mobalik kini... ang output sad ani kay ngadto sa Google Sheet. So naa gyuy replika sa mga essential nga data nga mobalik sa Google Sheet. Kay kanang, ang class record nako naa man sad sa Google Sheet."
Student/Speaker 2: "Oo. Naa man sad mi kuan ana, sir, connection sa kuan Google Sheet pero since wala pa man mi access gyud ana, so like mostly read-only ra man ang tanan data nga nakuha nato. Pero naa sad ta diri..."
Teacher/Speaker 1: "Unya, ang graph kay, pareho ra niana, simple ra kaayo siya. Pareho ra og structure sa inyong kuan, sa inyong... kuan sa kuan ba... kuan sa tracker, pareha-pareho. Mao ra na siya, simple ra."
Student/Speaker 2: "Sige lang, unsaon man pag-format, sir?"
Teacher/Speaker 1: "Unya ibalik sad sa akoa in Google Sheet nga form."
Student/Speaker 2: "Ah, okay."
Teacher/Speaker 1: "Mao na, ang relevant nga data, diha ra gyud kinahanglan butangan."
Student/Speaker 3: "Sir, unsay pasabot sa mga numbers diha, sir? What does the numbers mean diha sa mga 1...?"
Student/Speaker 2: "Like ang 1, sir, is 1 day late?"
Teacher/Speaker 1: "Late na. Ah..."
Teacher/Speaker 1: "Late na. Submission date, late na na siya. So mao na ang purpose sa tracker, makasabmit ba ka o wala, late ba, unya... mocalculate kon mobalik, kamo bay moadto, pakapin og inat-at kay late ka ani nga document, symbolic late pod ang mosunod."
Student/Speaker 2: "So mao ra siguro, sir, mao ra og tagal."
Teacher/Speaker 1: "Zero kay on-time na siya. (nangatawa) Zero, so dili na kinahanglan og kuan, dili na kinahanglan og ingon ana. So days late... zero, meaning kuan, naka-naka-sabmit ahead. Okay."
Student/Speaker 2: "So..."
Teacher/Speaker 1: "So tracker man ni siya, no? Tracker man ni siya?"
Student/Speaker 2: "Tracker, submission tracker, archiver..."
Student/Speaker 3: "Ha? Tracker, archiver..."
Teacher/Speaker 1: "Ah, okay. So si tracker, mao ra na ang purpose sa tracker. Okay. Kuan ra gyud na siya, kanang mo-notify ra gyud. Pwede man, pwede sad mo makacreated pod og lain nga view para sa estudyante, nga inig log in gani niya, kanang... makita niya ang status sa kuan of the documents ba or deliverables nga iyaha nang nangasabmit or wa nasabmit."
Student/Speaker 2: "Mm."
Teacher/Speaker 1: "So mura rag overview, pareha ra sa inyong gitan-aw nga tracker pero inyoha ra sad, dili ninyo makita ang sa uban. Ah, sa uban..."
Teacher/Speaker 1: "So dili... for privacy purposes ba, dili ninyo makita ang sa uban."
Student/Speaker 2: "So dili ka-share-able ang kuan, tracker?"
Teacher/Speaker 1: "Oo, pareha adtong idea sa submission ba."
Student/Speaker 2: "Mm, mm."
Teacher/Speaker 1: "Naa adto mamanage..."
Student/Speaker 2: "So moadto, naay access ra sa mga uban kuan ana, sir, is ang admin or ang advisor, sir?"
Teacher/Speaker 1: "Advisor ra gyud, para ra sad... dili sad para sa estudyante."
Student/Speaker 2: "Ah, unsaon pod... ha?"
Student/Speaker 3: "Di man pod..."
Teacher/Speaker 1: "Pero kana ra, pag-generate ra sa form, mao ra na ang..."
Student/Speaker 2: "Ang, ang bahin sa imo, sir? Kon, kon if it's just the advisor, kay for example mag-assign mo og different advisors to different teams?"
Teacher/Speaker 1: "Ay, teacher diay. Dili advisor, teacher. Teacher gyud. Siya gyud. Oo, pero pwede ra pod butangan og lain nga layer. Advisor, sa advisor man pod kay limited iyahang view sa team ra pod nga iyahang gi-advisoran."
Student/Speaker 2: "Mm."
Student/Speaker 2: "So magbutang pod mi og kanang mura og mas higher pa sa advisor, sir, which is ikaw?"
Teacher/Speaker 1: "Oo, ang hierarchy gyud kay teacher, mao may admin, unya advisor..."
